t,baseline,uav_xyz,coverage_tau_db,coverage_count,coverage_ratio,best_sinr_mean,best_sinr_min,best_sinr_max,load_var,per_uav_load_min,per_uav_load_mean,per_uav_load_max
9,RandomUAVBaseline,"[[-174.2073211669922, 636.241943359375, 143.97596740722656], [918.1552734375, -261.1911926269531, 132.8917236328125], [187.84840393066406, 696.5823974609375, 71.82102966308594], [-186.9793243408203, 819.9179077148438, 56.46003341674805], [645.4125366210938, -169.23191833496094, 174.47059631347656]]",5.0,29.0,0.19333333333333333,-83.31265258789062,-120.00000762939453,82.9864501953125,1825.3878173828125,3.0,29.0,126.0
10,RandomUAVBaseline,"[[-980.0908813476562, -269.9076843261719, 61.79450607299805], [305.2291564941406, -452.3017883300781, 155.39781188964844], [887.6028442382812, -746.3657836914062, 179.7167510986328], [-881.0717163085938, -238.458984375, 114.46611022949219], [-22.300907135009766, 952.9246215820312, 166.3536834716797]]",5.0,19.0,0.12666666666666668,-95.46217346191406,-120.00000762939453,80.19743347167969,1967.6734619140625,1.0,29.0,130.0
11,RandomUAVBaseline,"[[-382.2852783203125, -460.326416015625, 179.46803283691406], [762.6143188476562, 21.41301155090332, 101.64436340332031], [989.834716796875, -368.1129150390625, 77.4068603515625], [760.1962280273438, 624.6707763671875, 150.18341064453125], [916.8272705078125, 851.4291381835938, 162.23727416992188]]",5.0,17.0,0.11333333333333333,-97.15899658203125,-120.00000762939453,79.93744659423828,2191.387451171875,0.0,29.0,136.0
12,RandomUAVBaseline,"[[721.40283203125, -505.7065124511719, 71.18698120117188], [340.1236877441406, 429.237060546875, 75.05793762207031], [-208.8854522705078, 820.5115356445312, 134.21011352539062], [156.6718292236328, -611.740478515625, 128.90333557128906], [46.86945343017578, -822.1287231445312, 197.29139709472656]]",5.0,28.0,0.18666666666666668,-83.65135192871094,-120.00000762939453,82.25218963623047,1825.9591064453125,3.0,29.0,126.0
13,RandomUAVBaseline,"[[142.79119873046875, -987.1822509765625, 165.8973846435547], [956.5314331054688, 179.74005126953125, 97.9522476196289], [-624.9845581054688, 345.0532531738281, 79.26611328125], [155.3757781982422, 204.4783477783203, 194.36346435546875], [-855.469482421875, -0.05435268208384514, 161.6146240234375]]",5.0,22.0,0.14666666666666667,-92.51565551757812,-120.00000762939453,79.67012786865234,1932.530517578125,2.0,29.399999618530273,129.0
14,RandomUAVBaseline,"[[-645.5465087890625, -223.8665313720703, 59.434326171875], [451.76171875, -824.4642333984375, 109.26375579833984], [747.0452880859375, -55.39932632446289, 186.89329528808594], [531.834228515625, 830.64794921875, 69.1104507446289], [-852.8742065429688, -859.3474731445312, 180.32814025878906]]",5.0,21.0,0.14,-93.1447525024414,-120.00000762939453,83.50806427001953,1968.8162841796875,1.0,28.200000762939453,130.0
15,RandomUAVBaseline,"[[268.13995361328125, -6.856612205505371, 74.53150939941406], [347.4668884277344, -363.9652099609375, 156.63197326660156], [-79.28934478759766, 14.93972110748291, 168.44985961914062], [-814.509033203125, 157.5170135498047, 79.58524322509766], [616.2734985351562, -22.30792808532715, 198.30430603027344]]",5.0,22.0,0.14666666666666667,-93.00162506103516,-120.00000762939453,81.28739929199219,1968.2449951171875,1.0,29.200000762939453,130.0
16,RandomUAVBaseline,"[[-634.1133422851562, 926.0382690429688, 170.13755798339844], [-37.479007720947266, 627.068115234375, 140.42733764648438], [310.24212646484375, 827.3815307617188, 59.79056167602539], [669.9763793945312, -236.3704376220703, 98.83184051513672], [988.0535278320312, 562.3809814453125, 122.83026885986328]]",5.0,34.0,0.22666666666666666,-75.94467163085938,-120.00000762939453,81.22705078125,1532.8162841796875,1.0,27.399999618530273,117.0
17,RandomUAVBaseline,"[[-154.7432098388672, 755.0578002929688, 63.02223205566406], [416.8375244140625, 578.3092651367188, 169.87945556640625], [-355.4265441894531, 593.2783813476562, 83.79926300048828], [-275.38409423828125, -165.10377502441406, 131.2115020751953], [-774.7726440429688, -186.10440063476562, 50.04510498046875]]",5.0,19.0,0.12666666666666668,-94.43276977539062,-120.00000762939453,84.58633422851562,2076.816162109375,1.0,28.799999237060547,133.0
18,RandomUAVBaseline,"[[488.7614440917969, 703.7518310546875, 70.83975219726562], [407.571533203125, 642.2061767578125, 197.2742462158203], [687.5811157226562, -151.7870330810547, 196.95330810546875], [947.9688110351562, 7.353958606719971, 163.01698303222656], [827.6753540039062, -47.70585632324219, 179.56793212890625]]",5.0,22.0,0.14666666666666667,-91.1660385131836,-120.00000762939453,82.0433349609375,2077.3876953125,1.0,29.399999618530273,133.0
19,RandomUAVBaseline,"[[403.13714599609375, -412.1514892578125, 165.14784240722656], [141.36956787109375, -812.3096923828125, 108.70706176757812], [-852.5179443359375, -47.666072845458984, 114.28094482421875], [-152.52511596679688, 172.6007080078125, 68.40360260009766], [867.537841796875, 368.10089111328125, 173.56719970703125]]",5.0,21.0,0.14,-92.87218475341797,-120.00000762939453,81.50367736816406,2188.816162109375,2.0,29.600000381469727,136.0
20,RandomUAVBaseline,"[[793.6024780273438, 166.6400909423828, 56.03273391723633], [422.9736633300781, 138.0517120361328, 173.89358520507812], [64.3209457397461, 626.4882202148438, 199.55154418945312], [-298.890380859375, -657.9570922851562, 108.751220703125], [506.0999755859375, -121.5421371459961, 138.25701904296875]]",5.0,30.0,0.2,-79.4703140258789,-120.00000762939453,83.93273162841797,1626.816162109375,3.0,29.200000762939453,120.0
21,RandomUAVBaseline,"[[-745.2830810546875, 452.24700927734375, 92.01235961914062], [-618.764892578125, 725.9000244140625, 134.66192626953125], [-31.00211524963379, 797.6475219726562, 62.9018669128418], [392.30889892578125, -344.0354309082031, 76.31146240234375], [349.5972900390625, -274.3561096191406, 99.484375]]",5.0,28.0,0.18666666666666668,-84.3455581665039,-120.00000762939453,82.79299926757812,1791.9591064453125,3.0,29.200000762939453,125.0
